i, bike_url, transit_url
2,http://maps.googleapis.com/maps/api/directions/json?origin=from_station_lat,from_station_long&destination=to_station_lat,to_station_long&mode=bicycling&sensor=false,http://maps.googleapis.com/maps/api/directions/json?origin=from_station_lat,from_station_long&destination=to_station_lat,to_station_long&mode=transit&departure_time=1393450200&sensor=false
14,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=bicycling&sensor=false,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=transit&departure_time=1393450200&sensor=false
15,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=bicycling&sensor=false,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=transit&departure_time=1393450200&sensor=false
16,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=bicycling&sensor=false,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=transit&departure_time=1393450200&sensor=false
17,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=bicycling&sensor=false,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=transit&departure_time=1393450200&sensor=false
18,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=bicycling&sensor=false,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=transit&departure_time=1393450200&sensor=false
19,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=bicycling&sensor=false,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=transit&departure_time=1393450200&sensor=false
20,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=bicycling&sensor=false,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=transit&departure_time=1393450200&sensor=false
21,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=bicycling&sensor=false,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=transit&departure_time=1393450200&sensor=false
22,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=bicycling&sensor=false,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=transit&departure_time=1393450200&sensor=false
23,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=bicycling&sensor=false,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=transit&departure_time=1393450200&sensor=false
24,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=bicycling&sensor=false,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=transit&departure_time=1393450200&sensor=false
25,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=bicycling&sensor=false,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=transit&departure_time=1393450200&sensor=false
26,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=bicycling&sensor=false,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=transit&departure_time=1393450200&sensor=false
